Date,Open Price,High Price,Low Price,Close Price,WAP
20-May-2019,548.48095703125,552.0419921875,541.2659301757812,545.1077880859375,547.8766479492188
17-May-2019,550.7949829101561,557.4806518554689,542.1519165039061,547.2954711914061,548.835693359375
16-May-2019,554.0022583007811,556.3753662109375,543.925048828125,550.9315795898439,550.9464721679689
15-May-2019,552.4623413085939,557.6190795898439,542.5499267578125,551.4685668945311,551.6663208007811
14-May-2019,557.509033203125,560.653076171875,546.545166015625,550.46240234375,553.1768188476561
13-May-2019,552.5371704101561,559.7557373046875,550.42236328125,556.6058349609375,555.4974975585939
10-May-2019,550.5280151367189,561.6307983398439,546.97412109375,551.358154296875,552.3145141601561
09-May-2019,553.552978515625,560.2041015625,546.728271484375,548.9527587890625,552.2796020507811
08-May-2019,555.7634887695311,557.4524536132811,547.14111328125,550.1734008789061,551.9542236328125
07-May-2019,553.264892578125,561.7849731445311,549.7191162109375,553.57763671875,554.2703247070311
06-May-2019,553.8131713867189,559.2113037109375,548.408935546875,552.0853271484375,552.4371337890625
03-May-2019,551.496337890625,560.1280517578125,544.4998168945311,549.08984375,550.6554565429689
02-May-2019,554.8316040039061,556.7291870117189,547.6065063476561,550.0387573242189,551.0138549804689
01-May-2019,550.6898803710939,563.3937377929688,547.7603759765625,555.4085083007811,553.9116821289061
30-April-2019,554.8971557617189,563.2236938476562,546.8244018554689,549.4703979492189,552.6744384765625
29-April-2019,558.0328979492189,559.2586669921875,548.7368774414061,552.9758911132811,553.3579711914061
26-April-2019,562.4503173828125,567.0819091796875,553.8990478515625,556.882568359375,560.2957763671875
25-April-2019,561.0426025390625,571.2635498046875,556.2626953125,562.1597900390625,562.49853515625
24-April-2019,558.0333251953125,568.0325317382812,552.847900390625,558.3102416992189,558.0106811523439
23-April-2019,560.8716430664061,568.5496215820312,556.316650390625,557.5582275390625,560.0919189453125
